Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Malignant neoplasms,Alzheimer disease,Chronic lower respiratory diseases,Diseases of heart,Cerebrovascular diseases,COVID-19_Multiple Cause of Death,Year,Week,Days_Since_Last_Week,Total_Deaths,Malignancy_Mortality_Rate,Heart_Disease_Mortality_Rate,Natural_Cause_Prop,Month,Season,Seasonal Pattern
27/09/2023,United States,2020,1,2020-01-04,60179,55010,11567,2537,3501,14204,3110,0,2020,1,0.0,150108,7.705785168012365,9.462520318703866,0.36646947531110935,1,1,Winter
27/09/2023,United States,2020,2,2020-01-11,60735,55755,11963,2566,3708,13911,3189,1,2020,2,7.0,151828,7.879310799062096,9.16234159707037,0.3672247543272651,1,1,Winter
27/09/2023,United States,2020,3,2020-01-18,59363,54516,11701,2491,3526,13593,3256,2,2020,3,7.0,148448,7.8822213839189486,9.156741754688511,0.36723970683336926,1,1,Winter
27/09/2023,United States,2020,4,2020-01-25,59162,54401,11879,2517,3403,13612,3185,3,2020,4,7.0,148162,8.017575356704148,9.187240992967158,0.3671724193787881,1,1,Winter
27/09/2023,United States,2020,5,2020-02-01,58834,54001,11963,2480,3313,13465,3084,0,2020,5,7.0,147140,8.13035204567079,9.151148565991573,0.36700421367405195,2,1,Winter
27/09/2023,United States,2020,6,2020-02-08,59491,54416,11704,2515,3413,14005,3056,4,2020,6,7.0,148604,7.875965653683616,9.424376194449678,0.3661812602621733,2,1,Winter
27/09/2023,United States,2020,7,2020-02-15,58815,53969,11807,2537,3477,13641,3089,6,2020,7,7.0,147341,8.013383918936345,9.258115527925018,0.3662863697137932,2,1,Winter
27/09/2023,United States,2020,8,2020-02-22,58912,53987,11780,2515,3454,13632,3083,6,2020,8,7.0,147369,7.993540025378472,9.250249374020317,0.3663389179542509,2,1,Winter
27/09/2023,United States,2020,9,2020-02-29,59334,54316,11790,2519,3460,13714,3126,9,2020,9,7.0,148268,7.951816980063128,9.24946718105053,0.36633663366336633,2,1,Winter
27/09/2023,United States,2020,10,2020-03-07,59716,54401,11712,2511,3471,13693,3097,38,2020,10,7.0,148639,7.879493268926728,9.21225250438983,0.36599411998196973,3,2,Spring
27/09/2023,United States,2020,11,2020-03-14,58672,53529,11568,2445,3390,13437,3165,60,2020,11,7.0,146266,7.908878344933204,9.186687268401405,0.36597021864274676,3,2,Spring
27/09/2023,United States,2020,12,2020-03-21,59220,54302,11732,2514,3384,13203,3066,588,2020,12,7.0,148009,7.9265450073981985,8.920403488977021,0.3668830949469289,3,2,Spring
27/09/2023,United States,2020,13,2020-03-28,63026,58238,11782,2749,3519,13710,3067,3226,2020,13,7.0,159317,7.395318766986573,8.605484662653703,0.3655479327378748,3,2,Spring
27/09/2023,United States,2020,14,2020-04-04,72294,67445,11592,2871,3538,14945,3165,10141,2020,14,7.0,185991,6.23255963998258,8.035335043093482,0.36262507325623283,4,2,Spring
27/09/2023,United States,2020,15,2020-04-11,79113,74012,11549,2963,3442,15766,3191,16347,2020,15,7.0,206383,5.595906639597254,7.639195088742774,0.3586148083902259,4,2,Spring
27/09/2023,United States,2020,16,2020-04-18,76809,71895,11210,2899,3195,14570,3204,17221,2020,16,7.0,201003,5.577031188589225,7.248648030128904,0.35768122863837853,4,2,Spring
27/09/2023,United States,2020,17,2020-04-25,73909,68740,11367,2804,2993,13858,3058,15557,2020,17,7.0,192286,5.911506817969067,7.206972946548371,0.35748832468302427,4,2,Spring
27/09/2023,United States,2020,18,2020-05-02,69304,63931,11097,2727,2928,13004,3042,13223,2020,18,7.0,179256,6.1905877627527115,7.254429419377873,0.3566463605123399,5,2,Spring
27/09/2023,United States,2020,19,2020-05-09,66814,61173,11014,2498,2808,13170,2849,11243,2020,19,7.0,171569,6.4195746317808,7.6762119030827245,0.3565504257762183,5,2,Spring
27/09/2023,United States,2020,20,2020-05-16,64479,58978,11269,2432,2770,12735,2958,9239,2020,20,7.0,164860,6.8354967851510375,7.724736139754944,0.35774596627441463,5,2,Spring
27/09/2023,United States,2020,21,2020-05-23,61642,56014,11116,2417,2675,12796,2827,7249,2020,21,7.0,156736,7.092180481829318,8.164046549612086,0.35737801143323805,5,2,Spring
27/09/2023,United States,2020,22,2020-05-30,59682,53987,10903,2261,2634,12448,2851,6176,2020,22,7.0,150942,7.223304315564919,8.246876283605625,0.35766718342144665,5,2,Spring
27/09/2023,United States,2020,23,2020-06-06,58908,52924,11083,2302,2563,12463,2791,5060,2020,23,7.0,148094,7.483760314394912,8.415600902129729,0.3573676178643294,6,3,Summer
27/09/2023,United States,2020,24,2020-06-13,58034,52274,11130,2326,2502,12413,2838,4233,2020,24,7.0,145750,7.636363636363637,8.51663807890223,0.35865523156089196,6,3,Summer
27/09/2023,United States,2020,25,2020-06-20,57999,52211,11157,2362,2563,12412,2923,3852,2020,25,7.0,145479,7.6691481244715725,8.531815588504182,0.3588902865705703,6,3,Summer
27/09/2023,United States,2020,26,2020-06-27,58510,52643,11356,2288,2539,12515,2959,3846,2020,26,7.0,146656,7.743290421121536,8.533575169103209,0.358955651320096,6,3,Summer
27/09/2023,United States,2020,27,2020-07-04,59837,53815,11298,2362,2624,12877,2832,4557,2020,27,7.0,150202,7.5218705476624805,8.573121529673374,0.358284177307892,7,3,Summer
27/09/2023,United States,2020,28,2020-07-11,61962,55858,11333,2472,2615,13042,2921,5786,2020,28,7.0,155989,7.2652558834276775,8.360845957086719,0.3580893524543397,7,3,Summer
27/09/2023,United States,2020,29,2020-07-18,63177,57140,11373,2501,2647,12868,2982,7198,2020,29,7.0,159886,7.11319315011946,8.048234366986478,0.35737963298850434,7,3,Summer
27/09/2023,United States,2020,30,2020-07-25,64249,58386,11553,2510,2559,12933,2913,8250,2020,30,7.0,163353,7.072413729775394,7.917209968595618,0.35742226956346074,7,3,Summer
27/09/2023,United States,2020,31,2020-08-01,64235,58275,11514,2502,2737,12834,2989,8308,2020,31,7.0,163394,7.046770383245407,7.854633585076563,0.35665324308114127,8,3,Summer
27/09/2023,United States,2020,32,2020-08-08,63719,57822,11529,2434,2594,12819,3036,7870,2020,32,7.0,161823,7.124450788824826,7.921618064181235,0.3573163270981257,8,3,Summer
27/09/2023,United States,2020,33,2020-08-15,63665,57760,11705,2527,2657,12849,2946,7270,2020,33,7.0,161379,7.253112238891058,7.9620024910304315,0.35791521821302646,8,3,Summer
27/09/2023,United States,2020,34,2020-08-22,62562,56595,11517,2566,2642,12769,2930,6389,2020,34,7.0,157970,7.2906248021776285,8.0831803506995,0.3582642273849465,8,3,Summer
27/09/2023,United States,2020,35,2020-08-29,61104,55332,11576,2430,2559,12476,2994,5755,2020,35,7.0,154226,7.505868011878672,8.089427204232749,0.358772191459287,8,3,Summer
27/09/2023,United States,2020,36,2020-09-05,60247,54238,11376,2506,2552,12513,2862,5021,2020,36,7.0,151315,7.518091398737732,8.269504014803555,0.3584443049268083,9,4,Autumn
27/09/2023,United States,2020,37,2020-09-12,59665,53942,11468,2330,2560,12355,3046,4628,2020,37,7.0,149994,7.645639158899689,8.236996146512528,0.35962771844207103,9,4,Autumn
27/09/2023,United States,2020,38,2020-09-19,59753,54137,11630,2373,2518,12697,2948,4280,2020,38,7.0,150336,7.736004682843764,8.445748190719456,0.3601066943380162,9,4,Autumn
27/09/2023,United States,2020,39,2020-09-26,60613,55059,11863,2499,2672,12710,3077,4305,2020,39,7.0,152798,7.763845076506238,8.318171703818113,0.3603384861058391,9,4,Autumn
27/09/2023,United States,2020,40,2020-10-03,59822,54114,11425,2413,2579,12660,2886,4246,2020,40,7.0,150145,7.6093109993672785,8.431849212427986,0.36041160211795265,10,4,Autumn
27/09/2023,United States,2020,41,2020-10-10,61779,55933,11829,2515,2614,12810,3123,4823,2020,41,7.0,155426,7.610695765187292,8.241864295549007,0.35986900518574755,10,4,Autumn
27/09/2023,United States,2020,42,2020-10-17,60643,55200,11320,2538,2598,12580,3039,5204,2020,42,7.0,153122,7.392797899713953,8.215671164169747,0.36049685871396664,10,4,Autumn
27/09/2023,United States,2020,43,2020-10-24,62189,56847,11677,2572,2698,12870,3078,6000,2020,43,7.0,157931,7.39373523880682,8.149128416840265,0.359948331866448,10,4,Autumn
27/09/2023,United States,2020,44,2020-10-31,63425,58053,11528,2460,2569,13154,3104,7031,2020,44,7.0,161324,7.145867942773548,8.153777491259826,0.35985346259700973,10,4,Autumn
27/09/2023,United States,2020,45,2020-11-07,67590,61742,11808,2664,2896,13675,3159,8766,2020,45,7.0,172300,6.853163087637841,7.936738247243181,0.3583401044689495,11,4,Autumn
27/09/2023,United States,2020,46,2020-11-14,68823,63215,11745,2737,2753,13467,3175,10654,2020,46,7.0,176569,6.6517905181543755,7.6270466503180065,0.358018678250429,11,4,Autumn
27/09/2023,United States,2020,47,2020-11-21,71676,66245,11633,2656,2815,13644,3215,13365,2020,47,7.0,185249,6.2796560305318785,7.365221944517919,0.3575997711188724,11,4,Autumn
27/09/2023,United States,2020,48,2020-11-28,73327,67922,11395,2774,2756,13571,3127,15628,2020,48,7.0,190500,5.981627296587926,7.123884514435695,0.35654593175853017,11,4,Autumn
27/09/2023,United States,2020,49,2020-12-05,77429,71976,11358,2843,2835,14303,3313,18578,2020,49,7.0,202635,5.60515212080835,7.058504207071829,0.3552002368791176,12,1,Winter
27/09/2023,United States,2020,50,2020-12-12,82025,76440,11904,2934,3033,14583,3479,20941,2020,50,7.0,215339,5.528027900194577,6.772112808176875,0.3549751786717687,12,1,Winter
27/09/2023,United States,2020,51,2020-12-19,82938,77523,11781,3060,2948,14757,3468,22342,2020,51,7.0,218817,5.383950972730638,6.743991554586709,0.35428234552160026,12,1,Winter
27/09/2023,United States,2020,52,2020-12-26,84371,78718,11694,2982,2861,14842,3385,23399,2020,52,7.0,222252,5.261594946277199,6.678005147310261,0.3541835394057196,12,1,Winter
27/09/2023,United States,2020,53,2021-01-02,87033,81119,11694,3075,3060,15230,3509,24895,2021,53,7.0,229615,5.092872852383337,6.632841931058511,0.35328266881519066,1,1,Winter
27/09/2023,United States,2021,1,2021-01-09,87074,81201,11340,2946,2956,15103,3372,26028,2021,1,7.0,230020,4.930006086427268,6.565950786888097,0.3530171289453091,1,1,Winter
27/09/2023,United States,2021,2,2021-01-16,87415,81622,11852,2996,2939,15012,3535,25743,2021,2,7.0,231114,5.128205128205128,6.4954957293803055,0.3531677007883555,1,1,Winter
27/09/2023,United States,2021,3,2021-01-23,83703,78116,11582,2931,2816,14626,3451,23734,2021,3,7.0,220959,5.241696423318353,6.619327567557782,0.3535316506682235,1,1,Winter
27/09/2023,United States,2021,4,2021-01-30,79202,73653,11694,2650,2783,14306,3295,20363,2021,4,7.0,207946,5.623575351293124,6.879670683735201,0.3541929154684389,1,1,Winter
27/09/2023,United States,2021,5,2021-02-06,76514,70618,11607,2598,2861,14426,3325,17069,2021,5,7.0,199018,5.83213578671276,7.248590579746556,0.3548322262307932,2,1,Winter
27/09/2023,United States,2021,6,2021-02-13,71513,65874,11489,2397,2656,13963,3402,13551,2021,6,7.0,184845,6.215477832778815,7.553896507884985,0.35637425951472856,2,1,Winter
27/09/2023,United States,2021,7,2021-02-20,69529,63975,11416,2495,2702,14278,3194,10835,2021,7,7.0,178424,6.398242388916289,8.002286687889521,0.35855602385329327,2,1,Winter
27/09/2023,United States,2021,8,2021-02-27,66740,60968,11615,2484,2622,13614,3220,8675,2021,8,7.0,169938,6.834845649589851,8.011157010203721,0.3587661382386517,2,1,Winter
27/09/2023,United States,2021,9,2021-03-06,63703,57930,11438,2306,2580,13317,3183,6742,2021,9,7.0,161199,7.095577515989553,8.261217501349263,0.35936947499674315,3,2,Spring
27/09/2023,United States,2021,10,2021-03-13,61867,56205,11417,2300,2638,13214,3097,5734,2021,10,7.0,156472,7.296513114167391,8.444961398844523,0.35920164630093565,3,2,Spring
